id_pedido,data_pedido,id_cliente,canal,cidade,estado,categoria,produto,quantidade,preco_unitario,frete,status,data_entrega
PED-04946,2024-10-05,CLI-0577,site,Campinas,SP,BELEZA,Base Líquida Matte,1,50.39,"R$ 14,58",devolvido,2024-10-17
PED-01231,06/08/2023,CLI-1284,site,rio de janeiro,RJ,Beleza,Kit Skincare Facial,3,214.55,"R$ 0,00",entregue,12/08/2023
PED-03026,2023-05-28,CLI-0128,app,Fortaleza,CE,moda,Boné Aba Curva,1,88.47,"R$ 32,70",entregue,2023-06-11
PED-00286,26/12/2023,CLI-1111,app,Salvador,,Moda,"Mochila Notebook 15""",1,155.07,"R$ 23,15",entregue,10/01/2024
PED-03233,2024-03-19,CLI-0772,site,Sao Paulo,SP,Moda,Camiseta Básica Algodão,1,54.97,"R$ 14,12",devolvido,2024-03-30
PED-04283,2024-05-27,CLI-0703,site,Campinas,SP,BELEZA,Secador de Cabelo 2000W,2,184.45,"R$ 0,00",entregue,2024-06-10
PED-03729,2024-08-01,CLI-0138,site,Fortaleza,CE,Eletrônicos,Webcam Full HD,2,176.96,"R$ 0,00",em transporte,
PED-02582,2024-10-27,CLI-0122,site,Belo Horizonte,MG,MODA,Jaqueta Jeans,2,342.36,"R$ 0,00",devolvido,2024-11-05
PED-01230,2023-03-10,CLI-1356,site,Goiânia,GO,Casa & Decoração,"Tapete Sala 1,5m",2,190.9,"R$ 0,00",entregue,2023-03-27
PED-02966,2024-04-06,CLI-1352,marketplace,São Paulo,SP,Eletrônicos,Webcam Full HD,1,372.09,"R$ 0,00",devolvido,2024-04-18
PED-00242,02/10/2024,CLI-0639,app,Salvador,BA,Eletrônicos,Carregador Turbo 30W,1,65.26,"R$ 32,81",ENTREGUE,15/10/2024
PED-00980,2023-07-10,CLI-0254,site,Rio de Janeiro,RJ,Casa & Decoração,Luminária de Mesa LED,0,127.24,"R$ 17,22",cancelado,
PED-00024,19/11/2024,CLI-0820,marketplace,Ribeirão Preto,SP,moda,"Mochila Notebook 15""",1,119.77,"R$ 17,36",entregue,02/12/2024
PED-00022,2023-11-23,CLI-1221,marketplace,Porto Alegre,RS,Moda,Tênis Casual Masculino,2,285.96,"R$ 0,00",cancelado,
PED-02441,2024-12-31,CLI-1087,app,Porto Alegre,RS,Moda,Camiseta Básica Algodão,4,62.31,"R$ 20,91",entregue,2025-01-17
PED-04974,2024-11-11,CLI-0164,marketplace,fortaleza,CE,Eletrônicos,Webcam Full HD,4,189.49,"R$ 0,00",em transporte,
PED-03007,2024-05-10,CLI-0718,site,Campinas,SP,Eletrônicos,Caixa de Som Portátil,4,538.04,"R$ 0,00",ENTREGUE,2024-05-15
PED-01972,19/12/2024,CLI-0145,app,CAMPINAS,SP,Eletrônicos,Carregador Turbo 30W,3,80.08,"R$ 13,18",entregue,22/12/2024
PED-02996,2024-02-11,CLI-0404,app,São Paulo,SP,Eletrônicos,Carregador Turbo 30W,2,119.67,"R$ 15,53",entregue,2024-02-22
PED-02405,2024-10-08,CLI-0212,site,São Paulo,SP,Moda,Jaqueta Jeans,4,308.82,"R$ 0,00",entregue,2024-10-14
PED-04290,2024-05-20,CLI-0528,site,Salvador,BA,Moda,Tênis Casual Masculino,4,403.75,"R$ 0,00",Cancelado,
PED-01822,2024-02-28,CLI-0475,site,goiânia,GO,Casa & Decoração,Vaso Decorativo Cerâmica,2,78.53,"R$ 27,08",entregue,2024-03-08
PED-04618,2024-04-11,CLI-0469,app,Rio de Janeiro,RJ,Casa & Decoração,Jogo de Toalhas 4 peças,3,216.59,"R$ 0,00",cancelado,
PED-01587,2023-11-18,CLI-0002,site,São Paulo,SP,Beleza,Perfume Importado 100ml,2,262.3,"R$ 0,00",EM TRANSPORTE,
PED-04390,2024-05-05,CLI-0989,site,São Paulo,SP,Casa & Decoração,Luminária de Mesa LED,1,106.31,"R$ 14,58",cancelado,
PED-04292,2023-03-16,CLI-0518,app,Belo Horizonte,MG,Beleza,Kit Skincare Facial,1,116.59,"R$ 24,49",entregue,2023-03-25
PED-04091,21/04/2023,CLI-0702,app,Campinas,SP,Eletrônicos,Fone Bluetooth TWS,1,366.23,"R$ 0,00",Entregue,05/05/2023
PED-00539,2023-06-20,CLI-0807,site,São Paulo,SP,eletronicos,Webcam Full HD,1,304.3,"R$ 0,00",entregue,2023-06-28
PED-04172,2024-07-30,CLI-1089,site,  São Paulo ,SP,moda,Camiseta Básica Algodão,2,48.16,"R$ 14,35",entregue,2024-08-08
PED-04327,2023-03-09,CLI-0238,site,Rio de Janeiro,RJ,Beleza,Perfume Importado 100ml,1,605.57,"R$ 0,00",entregue,2023-03-17
PED-00021,2024-09-06,CLI-1346,app,São Paulo,SP,Moda,Jaqueta Jeans,2,247.96,"R$ 0,00",entregue,2024-09-20
PED-02841,25/09/2024,CLI-0548,app,Rio de Janeiro,RJ,Casa & Decoração,Jogo de Toalhas 4 peças,4,197.02,"R$ 0,00",DEVOLVIDO,07/10/2024
PED-04259,2024-12-13,CLI-1376,app,Belo Horizonte,MG,Casa & Decoração,Quadro Decorativo Abstrato,1,139.7,"R$ 13,11",ENTREGUE,2024-12-20
PED-00935,16/09/2024,CLI-1331,app,Porto Alegre,RS,Eletrônicos,Smartwatch Fit,2,720.91,"R$ 0,00",entregue,23/09/2024
PED-02315,22/11/2023,CLI-0360,site,Salvador,BA,Beleza,Base Líquida Matte,2,55.98,"R$ 28,43",ENTREGUE,30/11/2023
PED-01680,26/03/2024,CLI-0971,site,belo horizonte,MG,Moda,"Mochila Notebook 15""",1,283.78,"R$ 14,51",entregue,09/04/2024
PED-01568,2023-01-19,CLI-0335,marketplace,Fortaleza,CE,Beleza,Secador de Cabelo 2000W,3,277.78,"R$ 0,00",cancelado,
PED-03812,2023-05-24,CLI-1286,site,Recife,PE,Eletrônicos,Webcam Full HD,3,,"R$ 0,00",entregue,2023-06-11
PED-01172,2024-08-22,CLI-1186,app,Campinas,SP,Casa & Decoração,Luminária de Mesa LED,4,165.2,"R$ 0,00",ENTREGUE,2024-08-30
PED-03445,2024-11-14,CLI-0015,site,Salvador,BA,Moda,Boné Aba Curva,1,105.83,"R$ 30,73",entregue,2024-11-23
PED-01378,2024-11-11,CLI-0287,app,SÃO PAULO,SP,Casa & Decoração,Vaso Decorativo Cerâmica,1,71.3,"R$ 21,69",entregue,2024-11-16
PED-01202,12/04/2024,CLI-0973,site,  Curitiba ,PR,Esporte,Corda de Pular Speed,3,33.83,"R$ 17,66",entregue,29/04/2024
PED-01866,07/11/2024,CLI-0416,site,Recife,,Moda,"Mochila Notebook 15""",1,284.65,"R$ 28,84",entregue,21/11/2024
PED-00895,2024-09-03,CLI-1243,site,Campinas,SP,Beleza,Kit Skincare Facial,1,122.71,"R$ 16,61",devolvido,2024-09-16
PED-04229,2024-04-17,CLI-0653,app,Fortaleza,CE,Beleza,Perfume Importado 100ml,2,210.98,"R$ 0,00",Entregue,2024-04-30
PED-00591,2024-12-01,CLI-1252,app,Rio de Janeiro,RJ,ELETRÔNICOS,Carregador Turbo 30W,1,65.86,"R$ 14,64",entregue,2024-12-12
PED-03539,2023-06-09,CLI-1166,app,RIO DE JANEIRO,RJ,Eletrônicos,Carregador Turbo 30W,1,76.6,"R$ 20,11",entregue,2023-06-22
PED-03448,2024-09-05,CLI-1153,app,Rio de Janeiro,RJ,Moda,Jaqueta Jeans,4,281.2,"R$ 0,00",entregue,2024-09-18
PED-01241,2024-11-07,CLI-0514,app,BRASÍLIA,DF,Eletrônicos,Caixa de Som Portátil,1,287.79,"R$ 24,82",entregue,2024-11-16
PED-01417,08/04/2024,CLI-1044,app,Rio de Janeiro,RJ,Moda,Camiseta Básica Algodão,1,93.62,"R$ 20,23",entregue,19/04/2024
PED-04207,2023-07-13,CLI-0457,app,Porto Alegre,RS,Eletrônicos,Caixa de Som Portátil,3,254.05,"R$ 0,00",entregue,2023-07-28
PED-00899,2023-07-09,CLI-0464,site,Goiania,GO,Eletrônicos,Webcam Full HD,2,235.21,"R$ 0,00",entregue,2023-07-16
PED-01188,27/12/2024,CLI-0003,site,Goiânia,GO,Beleza,Kit Skincare Facial,2,237.22,"R$ 0,00",entregue,03/01/2025
PED-03243,2024-11-28,CLI-0600,app,São Paulo,SP,Eletrônicos,Fone Bluetooth TWS,1,207.31,"R$ 14,33",devolvido,2024-12-02
PED-00419,21/07/2023,CLI-0700,site,Salvador,BA,Beleza,Base Líquida Matte,3,140.91,"R$ 0,00",entregue,31/07/2023
PED-02531,2024-05-30,CLI-0993,app,Rio de Janeiro,RJ,Eletrônicos,Webcam Full HD,3,221.02,"R$ 0,00",entregue,2024-06-07
PED-03170,2024-05-19,CLI-0108,site,São Paulo,SP,Esporte,Corda de Pular Speed,1,74.36,"R$ 15,81",devolvido,2024-05-22
PED-03945,2023-07-01,CLI-0777,marketplace,São Paulo,SP,Esporte,Tapete de Yoga 6mm,0,188.14,"R$ 16,23",entregue,2023-07-05
PED-02583,2023-03-27,CLI-0458,site,Belo Horizonte,MG,eletronicos,Carregador Turbo 30W,3,59.4,"R$ 19,11",entregue,2023-04-05
PED-01531,31/10/2023,CLI-1273,site,Campinas,SP,Moda,"Mochila Notebook 15""",2,304.22,"R$ 0,00",entregue,09/11/2023
PED-04526,2024-04-18,CLI-0547,site,Campinas,SP,Esporte,Garrafa Térmica 1L,2,123.66,"R$ 20,62",entregue,2024-05-02
PED-02626,2023-12-30,CLI-0936,app,São Paulo,SP,Esporte,Halter Emborrachado 5kg,1,110.13,"R$ 12,90",entregue,2024-01-07
PED-00010,2024-01-22,CLI-1005,marketplace,CURITIBA,PR,Casa & Decoração,"Tapete Sala 1,5m",1,141.44,"R$ 21,38",em transporte,
PED-04802,31/07/2023,CLI-0713,marketplace,Campinas,SP,Eletrônicos,Carregador Turbo 30W,1,62.22,"R$ 8,78",entregue,11/08/2023
PED-02013,2023-05-26,CLI-1293,marketplace,Campinas,SP,Beleza,Perfume Importado 100ml,1,563.92,"R$ 0,00",entregue,2023-06-03
PED-03417,2024-05-30,CLI-0087,site,Brasília,DF,Moda,Jaqueta Jeans,4,251.5,"R$ 0,00",entregue,2024-06-14
PED-03974,2023-07-20,CLI-0264,site,Fortaleza,CE,Moda,"Mochila Notebook 15""",4,172.99,"R$ 0,00",entregue,2023-07-27
PED-04100,2024-11-23,CLI-0535,marketplace,Porto Alegre,RS,Eletrônicos,Caixa de Som Portátil,1,264.3,"R$ 23,06",entregue,2024-12-05
PED-04086,29/11/2024,CLI-0994,app,Porto Alegre,RS,Esporte,Camiseta Dry Fit,3,96.67,"R$ 25,80",Em transporte,
PED-03986,2023-03-23,CLI-0663,site,Campinas,SP,Beleza,Perfume Importado 100ml,2,545.55,"R$ 0,00",entregue,2023-03-27
PED-02606,2023-05-30,CLI-1104,marketplace,Ribeirao Preto,SP,Esporte,Corda de Pular Speed,4,52.68,"R$ 11,08",entregue,2023-06-12
PED-01747,2024-08-27,CLI-1275,marketplace,Brasília,DF,Esporte,Camiseta Dry Fit,2,111.14,"R$ 24,24",entregue,2024-09-14
PED-02414,2024-04-02,CLI-0523,app,Curitiba,PR,Eletrônicos,Carregador Turbo 30W,2,70.18,"R$ 17,97",entregue,2024-04-10
PED-03219,2023-10-07,CLI-1359,site,Brasília,DF,Casa & Decoração,Quadro Decorativo Abstrato,1,128.53,"R$ 24,52",entregue,2023-10-18
PED-03010,2024-09-01,CLI-0261,site,Ribeirão Preto,SP,Eletrônicos,Fone Bluetooth TWS,2,169.9,"R$ 0,00",entregue,2024-09-09
PED-00282,2023-07-05,CLI-0779,site,Rio de Janeiro,,Esporte,Garrafa Térmica 1L,1,123.88,"R$ 21,61",entregue,2023-07-17
PED-04627,03/11/2024,CLI-1348,site,belo horizonte,MG,Beleza,Base Líquida Matte,2,97.96,"R$ 16,01",entregue,11/11/2024
PED-03659,14/11/2024,CLI-0442,app,São Paulo,SP,ESPORTE,Corda de Pular Speed,2,63.56,"R$ 16,80",ENTREGUE,19/11/2024
PED-04200,2023-04-22,CLI-1139,site,Porto Alegre,RS,esporte,Halter Emborrachado 5kg,3,117.66,"R$ 0,00",entregue,2023-05-10
PED-04574,27/11/2023,CLI-1317,app,Porto Alegre,RS,esporte,Garrafa Térmica 1L,1,85.39,"R$ 27,24",Entregue,08/12/2023
PED-03372,2023-02-12,CLI-1251,app,Fortaleza,CE,Esporte,Halter Emborrachado 5kg,3,126.33,"R$ 0,00",Entregue,2023-03-02
PED-02285,2023-07-27,CLI-0518,site,São Paulo,SP,Esporte,Halter Emborrachado 5kg,3,140.66,"R$ 0,00",entregue,2023-08-05
PED-01327,2023-12-02,CLI-0949,app,Belo Horizonte,MG,Eletrônicos,Carregador Turbo 30W,1,115.25,"R$ 15,40",devolvido,2023-12-05
PED-01598,2023-06-29,CLI-0293,marketplace,Porto Alegre,RS,Esporte,Corda de Pular Speed,1,71.02,"R$ 26,53",entregue,2023-07-17
PED-04018,2024-01-24,CLI-1214,site,Porto Alegre,RS,Moda,"Mochila Notebook 15""",2,312.2,"R$ 0,00",entregue,2024-02-10
PED-02825,23/12/2024,CLI-1295,marketplace,Sao Paulo,SP,Casa & Decoração,"Tapete Sala 1,5m",1,312.51,"R$ 0,00",entregue,29/12/2024
PED-00812,2023-01-19,CLI-0074,marketplace,Ribeirão Preto,SP,Casa & Decoração,Vaso Decorativo Cerâmica,2,133.12,"R$ 15,28",ENTREGUE,2023-01-26
PED-01743,01/02/2023,CLI-0919,app,  Fortaleza ,CE,Esporte,Camiseta Dry Fit,4,113.58,"R$ 0,00",entregue,18/02/2023
PED-02239,2023-11-29,CLI-1094,app,Belo Horizonte,MG,Eletrônicos,Smartwatch Fit,2,895.83,"R$ 0,00",entregue,2023-12-09
PED-00568,2023-03-09,CLI-1360,marketplace,Rio de Janeiro,RJ,Casa & Decoração,"Tapete Sala 1,5m",1,347.01,"R$ 0,00",devolvido,2023-03-13
PED-01270,29/02/2024,CLI-1164,marketplace,Salvador,BA,Moda,Camiseta Básica Algodão,2,97.91,"R$ 30,12",entregue,12/03/2024
PED-01497,05/11/2024,CLI-0806,app,São Paulo,SP,Eletrônicos,Webcam Full HD,4,175.1,"R$ 0,00",devolvido,12/11/2024
PED-00810,2024-12-28,CLI-1279,app,Belo Horizonte,,Beleza,Kit Skincare Facial,2,99.3,"R$ 20,09",entregue,2025-01-06
PED-01333,2024-04-02,CLI-1067,app,São Paulo,SP,ESPORTE,Camiseta Dry Fit,4,93.53,"R$ 0,00",Entregue,2024-04-16
PED-03996,17/01/2023,CLI-0841,app,Recife,PE,Moda,Tênis Casual Masculino,1,195.98,"R$ 28,46",entregue,27/01/2023
PED-04196,2024-03-20,CLI-1372,site,RECIFE,PE,Eletrônicos,Fone Bluetooth TWS,2,186.65,"R$ 0,00",Cancelado,
PED-00839,28/12/2023,CLI-1112,site,Belo Horizonte,MG,casa & decoracao,"Tapete Sala 1,5m",4,386.18,"R$ 0,00",entregue,10/01/2024
PED-03595,2023-02-22,CLI-0850,marketplace,São Paulo,SP,Esporte,Corda de Pular Speed,1,59.28,"R$ 18,67",entregue,2023-03-06
PED-01418,2024-04-07,CLI-0624,app,Rio de Janeiro,RJ,Eletrônicos,Webcam Full HD,4,200.75,"R$ 0,00",ENTREGUE,2024-04-11
PED-01753,2024-11-17,CLI-0032,app,Campinas,SP,Beleza,Base Líquida Matte,4,128.96,"R$ 0,00",entregue,2024-11-25
PED-03027,2023-09-25,CLI-0501,site,Campinas,SP,Moda,Boné Aba Curva,4,81.53,"R$ 0,00",entregue,2023-10-05
PED-03312,2024-12-05,CLI-0337,app,Ribeirão Preto,SP,Moda,Tênis Casual Masculino,3,244.98,"R$ 0,00",ENTREGUE,2024-12-18
PED-00578,08/05/2024,CLI-0707,site,Goiânia,GO,beleza,Perfume Importado 100ml,2,323.96,"R$ 0,00",em transporte,
PED-04083,16/08/2024,CLI-0966,marketplace,Ribeirão Preto,SP,Beleza,Kit Skincare Facial,1,144.36,"R$ 13,33",entregue,25/08/2024
PED-03309,16/05/2024,CLI-1048,site,Rio de Janeiro,RJ,Esporte,Tapete de Yoga 6mm,4,133.71,"R$ 0,00",entregue,19/05/2024
PED-04896,2024-02-18,CLI-0274,app,Rio de Janeiro,RJ,Esporte,Corda de Pular Speed,2,48.87,"R$ 19,89",cancelado,
PED-02709,2023-06-24,CLI-0622,marketplace,São Paulo,SP,Casa & Decoração,Vaso Decorativo Cerâmica,1,136.34,"R$ 10,73",entregue,2023-06-28
PED-03579,2024-08-28,CLI-1300,marketplace,Salvador,BA,Moda,Camiseta Básica Algodão,3,98.8,"R$ 31,31",cancelado,
PED-03955,20/03/2023,CLI-0686,app,Belo Horizonte,,Esporte,Halter Emborrachado 5kg,1,148.59,"R$ 20,09",Entregue,31/03/2023
PED-04019,08/04/2023,CLI-0518,app,Porto Alegre,RS,Esporte,Halter Emborrachado 5kg,2,90.47,"R$ 25,78",entregue,15/04/2023
PED-00237,2024-02-06,CLI-0316,site,Rio de Janeiro,RJ,Beleza,Base Líquida Matte,1,55.96,"R$ 19,81",cancelado,
PED-03422,2023-11-17,CLI-1300,site,Ribeirão Preto,SP,Esporte,Halter Emborrachado 5kg,1,72.69,"R$ 13,77",entregue,2023-11-24
PED-00025,20/09/2024,CLI-1389,site,Rio de Janeiro,RJ,Beleza,Secador de Cabelo 2000W,2,194.96,"R$ 0,00",entregue,27/09/2024
PED-02332,2023-12-04,CLI-0328,app,Recife,PE,Esporte,Halter Emborrachado 5kg,2,102.46,"R$ 30,36",devolvido,2023-12-22
PED-04195,2023-10-07,CLI-1103,marketplace,Ribeirão Preto,SP,Eletrônicos,Fone Bluetooth TWS,2,350.41,"R$ 0,00",ENTREGUE,2023-10-16
PED-03217,2023-11-23,CLI-0117,site,Salvador,BA,Eletrônicos,Caixa de Som Portátil,1,345.63,"R$ 0,00",entregue,2023-12-04
PED-00661,2023-10-02,CLI-0460,app,FORTALEZA,CE,Beleza,Kit Skincare Facial,3,96.02,"R$ 36,71",entregue,2023-10-19
PED-00558,26/02/2024,CLI-0611,site,São Paulo,SP,Casa & Decoração,Quadro Decorativo Abstrato,1,189.17,"R$ 13,59",entregue,04/03/2024
PED-00368,2024-07-05,CLI-0270,site,São Paulo,SP,Esporte,Camiseta Dry Fit,1,66.07,"R$ 13,55",entregue,2024-07-17
PED-00671,2023-05-24,CLI-0318,marketplace,Salvador,BA,Esporte,Camiseta Dry Fit,1,64.88,"R$ 26,44",ENTREGUE,2023-06-05
PED-01903,2024-11-03,CLI-1275,site,,SP,Beleza,Secador de Cabelo 2000W,1,268.03,"R$ 15,84",entregue,2024-11-07
PED-02438,2024-06-30,CLI-0243,marketplace,porto alegre,RS,Eletrônicos,Carregador Turbo 30W,3,80.3,"R$ 28,63",cancelado,
PED-00905,2024-12-14,CLI-1344,marketplace,São Paulo,SP,Esporte,Garrafa Térmica 1L,-2,71.91,"R$ 14,89",entregue,2024-12-28
PED-00925,2023-06-19,CLI-0722,site,Curitiba,PR,Eletrônicos,Fone Bluetooth TWS,1,263.04,"R$ 18,06",entregue,2023-06-28
PED-04749,10/11/2024,CLI-0024,marketplace,Porto Alegre,RS,Eletrônicos,Fone Bluetooth TWS,1,275.04,"R$ 27,48",entregue,27/11/2024
PED-01175,2024-03-08,CLI-0165,site,Salvador,BA,Eletrônicos,Webcam Full HD,4,306.51,"R$ 0,00",entregue,2024-03-17
PED-00763,2023-02-25,CLI-0695,marketplace,Rio de Janeiro,RJ,BELEZA,Kit Skincare Facial,1,,"R$ 17,20",cancelado,
PED-00471,19/12/2023,CLI-0375,app,Salvador,BA,Moda,Tênis Casual Masculino,4,316.63,"R$ 0,00",entregue,30/12/2023
PED-00210,2024-03-10,CLI-1351,marketplace,Ribeirão Preto,SP,Eletrônicos,Smartwatch Fit,2,863.5,"R$ 0,00",entregue,2024-03-23
PED-04685,2024-12-30,CLI-0261,app,Campinas,SP,Eletrônicos,Fone Bluetooth TWS,2,216.46,"R$ 0,00",cancelado,
PED-04225,10/08/2023,CLI-0393,app,Recife,PE,Moda,"Mochila Notebook 15""",2,212.23,"R$ 0,00",em transporte,
PED-00434,2024-10-29,CLI-0897,app,Rio de Janeiro,RJ,Moda,Camiseta Básica Algodão,2,61.52,"R$ 17,56",devolvido,2024-11-11
